PERMIT #,CASE_TYPE,CASE_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,CONSTRUCTION COST,Square Footage,STATUS_CODE,Date_Initiated,Date_Issued,TASK_CODE,TASK_DESC,RESULT_CODE,RESULT_DESC,Task_Complete_Date
T2018003836,CACH,Building Commercial - Shell,CAF14R102,Hotel / Motel,1.00,0.00,DONE,01-23-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,06-12-2018
T2018004586,CACT,Building Commercial - Tenant Finish Out,CAF06A204,"Bar Or Nightclub, Tavern And Bars",4000.00,0.00,DONE,01-26-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,02-02-2018
T2018005790,CACR,Building Commercial - Rehab,CAD03B000,"Leasing / Sales Office, Other",150000.00,0.00,DONE,02-01-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,02-01-2018
T2018006734,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",0.00,0.00,DONE,02-06-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,03-28-2018
T2018010473,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",50000.00,0.00,DONE,02-26-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,03-08-2018
T2018010647,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",2000.00,0.00,DONE,02-26-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,04-30-2018
T2018013037,CACN,Building Commercial - New,CAD03B000,"Leasing / Sales Office, Other",10000.00,0.00,DONE,03-08-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,03-09-2018
T2018014872,CACF,Building Commercial - Foundation,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",765190.40,144736.00,DONE,03-16-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-30-2018
T2018018303,CACR,Building Commercial - Rehab,CAH10S002,"Warehouse, Storage S-2",45000.00,0.00,DONE,04-03-2018,NULL,PLRVWUFORE,Review - Urban Forester,PLAPPROVED,Approve as Submitted,04-10-2018
T2018019997,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",150000.00,0.00,DONE,04-11-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,04-11-2018
