PERMIT #,CASE_TYPE,CASE_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,STATUS_CODE,Date_Initiated,Date_Issued,TASK_CODE,TASK_DESC,Temp U&O Complete Date,Final U&O Complete Date
2018000034,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,DONE,1/2/2018,1/2/2018,CABUO,U&O Letter,,11/26/2018
2018000187,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,DONE,1/2/2018,1/2/2018,CABUO,U&O Letter,,5/5/2020
2018045480,CACN,Building Commercial - New,CAD02B016,"General Office, Professional Services",DONE,8/2/2018,1/2/2019,CABUO,U&O Letter,5/12/2020,7/27/2020
2018057638,CACR,Building Commercial - Rehab,CAF31A203,Restaurant (Take Out),DONE,9/10/2018,1/2/2019,CABUO,U&O Letter,,11/14/2019
2018059485,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",DONE,9/18/2018,1/2/2019,CABUO,U&O Letter,,11/5/2019
2018076511,CARN,Building Residential - New,CAA02R302,Duplex,DONE,12/7/2018,1/2/2019,CABUO,U&O Letter,,1/14/2020
2018078382,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/17/2018,1/2/2019,CABUO,U&O Letter,,4/22/2019
2018078383,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/17/2018,1/2/2019,CABUO,U&O Letter,,4/10/2019
2018078384,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/17/2018,1/2/2019,CABUO,U&O Letter,,3/29/2019
2018079092,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/19/2018,1/2/2019,CABUO,U&O Letter,,5/7/2019
2018079093,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/19/2018,1/2/2019,CABUO,U&O Letter,,5/6/2019
2018079913,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",DONE,12/27/2018,1/2/2019,CABUO,U&O Letter,4/22/2019,4/23/2019
2018080052,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",DONE,12/27/2018,1/2/2019,CABUO,U&O Letter,,1/30/2019
2019000042,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,DONE,1/2/2019,1/2/2019,CABUO,U&O Letter,,10/17/2019
2019000056,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,DONE,1/2/2019,1/2/2019,CABUO,U&O Letter,,12/23/2019
2019063479,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",DONE,10/17/2019,1/2/2020,CABUO,U&O Letter,5/12/2021,6/9/2021
2019064571,CACT,Building Commercial - Tenant Finish Out,CAH06H000,"Manufacturing, Light Hazardous (H1-H5)",DONE,10/22/2019,1/2/2020,CABUO,U&O Letter,,6/25/2021
2019067445,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",DONE,11/4/2019,1/2/2020,CABUO,U&O Letter,,9/16/2020
2019074940,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/9/2019,1/2/2020,CABUO,U&O Letter,9/17/2020,11/30/2020
2019074941,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/9/2019,1/2/2020,CABUO,U&O Letter,,5/12/2020
2019075174,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/9/2019,1/2/2020,CABUO,U&O Letter,12/8/2020,12/28/2020
2019075188,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/9/2019,1/2/2020,CABUO,U&O Letter,11/20/2020,12/14/2020
2019075205,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",DONE,12/9/2019,1/2/2020,CABUO,U&O Letter,9/18/2020,10/2/2020
2019075816,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/11/2019,1/2/2020,CABUO,U&O Letter,,5/13/2020
2019077048,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/17/2019,1/2/2020,CABUO,U&O Letter,,5/26/2020
2019077382,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,DONE,12/18/2019,1/2/2020,CABUO,U&O Letter,,8/24/2020
2020000062,CACT,Building Commercial - Tenant Finish Out,CAF20M001,"Retail, Department / Retail Stores",DONE,1/2/2020,1/2/2020,CABUO,U&O Letter,,2/4/2020
2020000291,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,DONE,1/2/2020,1/2/2020,CABUO,U&O Letter,6/2/2020,6/2/2020
2018000250,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,DONE,1/3/2018,1/3/2018,CABUO,U&O Letter,,1/28/2019
2018000252,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/3/2018,1/3/2018,CABUO,U&O Letter,,8/6/2018
2018000273,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/3/2018,1/3/2018,CABUO,U&O Letter,,2/21/2019
2018000315,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/3/2018,1/3/2018,CABUO,U&O Letter,,2/21/2019
2018000351,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",DONE,1/3/2018,1/3/2018,CABUO,U&O Letter,,2/21/2018
2018027084,CACR,Building Commercial - Rehab,CAE04B016,"Medical Office, Professional Services",DONE,5/11/2018,1/3/2019,CABUO,U&O Letter,,6/12/2019
2018033397,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,6/11/2018,1/3/2019,CABUO,U&O Letter,5/29/2020,2/24/2021
2018045615,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),DONE,8/2/2018,1/3/2019,CABUO,U&O Letter,7/5/2019,10/24/2019
2018064270,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",DONE,10/10/2018,1/3/2019,CABUO,U&O Letter,,1/30/2020
2019050955,CACR,Building Commercial - Rehab,CAA03R299,"Multifamily, Condominium > 5 Unit Bldg",DONE,8/23/2019,1/3/2020,CABUO,U&O Letter,,4/12/2021
2019073429,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",DONE,12/2/2019,1/3/2020,CABUO,U&O Letter,,10/15/2020
2019074776,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/6/2019,1/3/2020,CABUO,U&O Letter,,8/4/2020
2018000423,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,DONE,1/3/2018,1/4/2018,CABUO,U&O Letter,,10/17/2018
2018000511,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/4/2018,1/4/2018,CABUO,U&O Letter,,1/22/2019
2018000522,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/4/2018,1/4/2018,CABUO,U&O Letter,,12/21/2018
2018000528,CACR,Building Commercial - Rehab,CAH10S001,"Warehouse, Storage S-1",DONE,1/4/2018,1/4/2018,CABUO,U&O Letter,,6/12/2018
2018000682,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,DONE,1/4/2018,1/4/2018,CABUO,U&O Letter,,11/1/2018
2018034995,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,6/18/2018,1/4/2019,CABUO,U&O Letter,,3/14/2021
