PERMIT #,CASE_TYPE,CASE_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,CONSTRUCTION COST,Square Footage,STATUS_CODE,Date_Initiated,Date_Issued
2018023998,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,24000,0,DONE,4/27/2018,NULL
2020011891,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,25936,1236,OPEN,2/24/2020,NULL
D2019001438,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,50000,0,DONE,1/8/2019,NULL
D2019005512,CARA,Building Residential - Addition,CAA02R302,Duplex,22352,352,DONE,1/28/2019,NULL
D2019051121,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,8/23/2019,NULL
D2019052903,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,9/3/2019,NULL
D2019068955,CARN,Building Residential - New,CAA04R301,Mobile Home Dwelling,0,0,DONE,11/8/2019,NULL
D2020033985,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",560,560,DONE,6/2/2020,NULL
D2020037160,CARN,Building Residential - New,CAA01R301,Single Family Residence,185215,0,DONE,6/16/2020,NULL
D2020040728,CACL,Building Commercial Rehab Storm Damage,CAA03R298,"Multifamily, Condominium 3&4 Unit Bldg",3800,2300,DONE,6/30/2020,NULL
D2020047799,CARN,Building Residential - New,CAA01R301,Single Family Residence,341770.8,2436,DONE,8/2/2020,NULL
D2020048471,CARN,Building Residential - New,CAA11R301,Detached Accessory Dwelling Unit,154488,1200,DONE,8/5/2020,NULL
D2020049062,CARN,Building Residential - New,CAA01R301,Single Family Residence,266946.6,2595,DONE,8/6/2020,NULL
D2020053213,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,8/25/2020,NULL
D2020053253,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,8/25/2020,NULL
D2020055421,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",34776,720,DONE,9/3/2020,NULL
D2020068970,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,105,105,DONE,11/3/2020,NULL
D2020069142,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,11/3/2020,NULL
D2020080590,CARN,Building Residential - New,CAA01R301,Single Family Residence,439772.68,1781,DONE,12/30/2020,NULL
T2018000041,CACA,Building Commercial - Addition,ADDITION,Addition,33670,0,DONE,1/2/2018,NULL
T2018000179,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),0,0,DONE,1/2/2018,NULL
T2018000453,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,1/3/2018,NULL
T2018000649,CARN,Building Residential - New,CAA01R301,Single Family Residence,252865.7,2450,DONE,1/4/2018,NULL
T2018000651,CARN,Building Residential - New,CAA01R301,Single Family Residence,252865.7,2450,DONE,1/4/2018,NULL
T2018000670,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,42243.75,375,DONE,1/4/2018,NULL
T2018000709,CARN,Building Residential - New,CAA01R301,Single Family Residence,300000,0,DONE,1/4/2018,NULL
T2018000749,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,1/4/2018,NULL
T2018000752,CACR,Building Commercial - Rehab,CAF30A203,Restaurant (Fast Food),211000,0,DONE,1/4/2018,NULL
T2018000802,CART,Building Residential - Tenant Finish Out,CAA03R299,"Multifamily, Condominium > 5 Unit Bldg",0,0,DONE,1/4/2018,NULL
T2018000805,CACT,Building Commercial - Tenant Finish Out,CAA03R299,"Multifamily, Condominium > 5 Unit Bldg",0,0,DONE,1/4/2018,NULL
T2018000923,CARN,Building Residential - New,CAA11R301,Detached Accessory Dwelling Unit,116865.75,1445,DONE,1/5/2018,NULL
T2018000930,CACR,Building Commercial - Rehab,CAH06H000,"Manufacturing, Light Hazardous (H1-H5)",0,0,DONE,1/5/2018,NULL
T2018001005,CACA,Building Commercial - Addition,CAD02B016,"General Office, Professional Services",0,0,DONE,1/5/2018,NULL
T2018001096,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,1/8/2018,NULL
T2018001173,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",1,0,DONE,1/8/2018,NULL
T2018001271,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,1/8/2018,NULL
T2018001276,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",2500,0,DONE,1/8/2018,NULL
T2018001327,CARN,Building Residential - New,CAA01R301,Single Family Residence,10000,0,DONE,1/8/2018,NULL
T2018001341,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,65970,970,DONE,1/8/2018,NULL
T2018001522,CACR,Building Commercial - Rehab,CAB10A305,"Religious Institution, Worship Space",150000,0,DONE,1/9/2018,NULL
T2018001695,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,20000,0,DONE,1/9/2018,NULL
T2018001836,CARN,Building Residential - New,CAA01R301,Single Family Residence,224228.52,2170,DONE,1/10/2018,NULL
T2018002418,CARN,Building Residential - New,CAA01R301,Single Family Residence,259542.99,2486,DONE,1/15/2018,NULL
